Entity,Code,Year,Maternal mortality ratio
Congo,COG,2001,641.407
Congo,COG,2002,619.5643
Congo,COG,2003,587.13153
Congo,COG,2004,541.07263
Congo,COG,2005,487.7581
Congo,COG,2006,479.12253
Congo,COG,2007,439.35422
Congo,COG,2008,414.8624
Congo,COG,2009,414.9415
Congo,COG,2010,389.06412
Congo,COG,2011,387.1991
Congo,COG,2012,402.49243
Congo,COG,2013,361.82642
Congo,COG,2014,375.30713
Congo,COG,2015,360.43546
Congo,COG,2016,352.6002
Congo,COG,2017,365.77115
Congo,COG,2018,370.06052
Congo,COG,2019,292.1209
Congo,COG,2020,282.38577
Dominican Republic,DOM,1990,137.0388
Dominican Republic,DOM,1991,139.06592
Dominican Republic,DOM,1992,141.86772
Dominican Republic,DOM,1993,133.2649
Dominican Republic,DOM,1994,133.36003
Dominican Republic,DOM,1995,131.40219
Dominican Republic,DOM,1996,126.74766
Dominican Republic,DOM,1997,111.971886
Dominican Republic,DOM,1998,106.88143
Dominican Republic,DOM,1999,92.77973
Dominican Republic,DOM,2000,79.0504
Dominican Republic,DOM,2001,68.55596
Dominican Republic,DOM,2002,70.34202
Dominican Republic,DOM,2003,74.52423
Dominican Republic,DOM,2004,81.48957
Dominican Republic,DOM,2005,86.68351
Dominican Republic,DOM,2006,84.98428
Dominican Republic,DOM,2007,89.442245
Dominican Republic,DOM,2008,92.456345
Dominican Republic,DOM,2009,93.33452
Dominican Republic,DOM,2010,91.777954
Dominican Republic,DOM,2011,93.05579
Dominican Republic,DOM,2012,91.15824
Dominican Republic,DOM,2013,93.4655
Dominican Republic,DOM,2014,95.87624
Dominican Republic,DOM,2015,98.8145
Dominican Republic,DOM,2016,101.93138
Dominican Republic,DOM,2017,104.42416
Dominican Republic,DOM,2018,109.27616
Dominican Republic,DOM,2019,102.90619
Dominican Republic,DOM,2020,107.34755
Egypt,EGY,1990,124.78118
Egypt,EGY,1991,118.17056
Egypt,EGY,1992,118.123505
Egypt,EGY,1993,111.3401
Egypt,EGY,1994,109.298996
Egypt,EGY,1995,100.2992
Egypt,EGY,1996,98.739426
